
2024/04/19 (09:44:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/19 (11:25:35) | ===> btop++ v.1.3.2
2024/04/19 (11:25:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/19 (19:47:50) | ===> btop++ v.1.3.2
2024/04/19 (19:47:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/19 (21:54:33) | ===> btop++ v.1.3.2
2024/04/19 (21:54:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/21 (18:24:29) | ===> btop++ v.1.3.2
2024/04/21 (18:24:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/22 (18:44:47) | ===> btop++ v.1.3.2
2024/04/22 (18:44:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/24 (16:59:38) | ===> btop++ v.1.3.2
2024/04/24 (16:59:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/24 (18:41:55) | ===> btop++ v.1.3.2
2024/04/24 (18:41:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/24 (18:43:54) | ===> btop++ v.1.3.2
2024/04/24 (18:43:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/26 (17:15:28) | ===> btop++ v.1.3.2
2024/04/26 (17:15:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/26 (19:16:58) | ===> btop++ v.1.3.2
2024/04/26 (19:16:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/27 (15:23:27) | ===> btop++ v.1.3.2
2024/04/27 (15:23:27) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/28 (08:47:52) | ===> btop++ v.1.3.2
2024/04/28 (08:47:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/29 (09:58:54) | ===> btop++ v.1.3.2
2024/04/29 (09:58:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/29 (19:39:41) | ===> btop++ v.1.3.2
2024/04/29 (19:39:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/30 (09:10:05) | ===> btop++ v.1.3.2
2024/04/30 (09:10:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/04/30 (19:22:45) | ===> btop++ v.1.3.2
2024/04/30 (19:22:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/05/02 (17:47:15) | ===> btop++ v.1.3.2
2024/05/02 (17:47:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/05/03 (09:50:13) | ===> btop++ v.1.3.2
